ingredient_unit,ingredient_id
320g,1500000
1/4개,1500001
2큰술,1500002
,1500003
1큰술,1500004
3큰술,1500005
2kg,1500006
1/2큰술,1500007
330g,1500008
1병,1500009
1/3컵,1500010
150g,1500011
1/5컵,1500012
2L,1500013
7개,1500014
10컵,1500015
1모,1500016
1/2컵,1500017
1kg,1500018
1팩,1500019
2컵,1500020
300g,1500021
500g,1500022
1통,1500023
15개,1500024
1봉지,1500025
2개,1500026
1마리,1500027
2/3컵,1500028
4컵,1500029
7컵,1500030
200g,1500031
5마리,1500032
4마리,1500033
1/4큰술,1500034
3팩,1500035
11컵,1500036
4큰술,1500037
30장,1500038
1/2대,1500039
1/2개,1500040
2/3개,1500041
1/4컵,1500042
1개,1500043
3/5개,1500044
1컵,1500045
2/3큰술,1500046
1캔,1500047
6컵,1500048
3컵,1500049
6장,1500050
4인분 기준,1500051
24개 분량,1500052
3인분 양,1500053
2대,1500054
2봉지,1500055
4/5대,1500056
13개,1500057
2마리,1500058
3장,1500059
3개,1500060
2공기,1500061
7조각,1500062
20개,1500063
6개,1500064
3마리,1500065
1/2팩,1500066
1/2캔,1500067
5큰술,1500068
125g,1500069
120g,1500070
260g,1500071
54g,1500072
100g,1500073
5장,1500074
400g,1500075
1공기,1500076
5kg,1500077
1/4통,1500078
250g,1500079
5L,1500080
1/4포기,1500081
1/2모,1500082
700g,1500083
8L,1500084
1장,1500085
380g,1500086
4개,1500087
4장,1500088
10마리,1500089
2인분,1500090
60인분,1500091
5봉지,1500092
900g,1500093
1블럭,1500094
45g,1500095
300ml,1500096
8kg,1500097
 70g,1500098
 10마리 정도,1500099
 2큰술,1500100
 1큰술,1500101
 1/2큰술,1500102
 8ea,1500103
 75g,1500104
10장,1500105
10큰술,1500106
10대,1500107
3줄,1500108
2/3대,1500109
1L,1500110
1/10개,1500111
1/3대,1500112
6큰술,1500113
1/3개,1500114
3/4컵,1500115
1/6개,1500116
4L,1500117
500ml,1500118
90g,1500119
15마리,1500120
1/3병,1500121
1대,1500122
7큰술,1500123
15컵,1500124
2/5컵,1500125
5개,1500126
1/3캔,1500127
1/4대,1500128
6대,1500129
8알,1500130
50g,1500131
3kg,1500132
180g,1500133
230g,1500134
30g,1500135
2장,1500136
2g,1500137
1/5개,1500138
70g,1500139
600g,1500140
40g,1500141
5컵,1500142
60g,1500143
240g,1500144
50g씩,1500145
 2g,1500146
 2스푼,1500147
 500g,1500148
1/3큰술,1500149
1/5대,1500150
3L,1500151
3대,1500152
10개,1500153
1/3모,1500154
3/5대,1500155
7장,1500156
1/16통,1500157
600ml,1500158
2꼬집,1500159
1/2참치캔 or ½개,1500160
1/7컵,1500161
16개,1500162
17컵,1500163
1/7개,1500164
1봉,1500165
2줄,1500166
20g,1500167
2알,1500168
40mL,1500169
1/2작은술,1500170
 2개,1500171
 1스푼,1500172
 0.5작은술,1500173
 1작은술,1500174
 4eaa,1500175
 3g,1500176
3g,1500177
12줄,1500178
1/6큰술,1500179
12개,1500180
8개,1500181
1/2병,1500182
1/8큰술,1500183
3/5큰술,1500184
225g,1500185
1줄,1500186
11개,1500187
10g,1500188
1꼬집,1500189
190g,1500190
15g,1500191
5g,1500192
30ml,1500193
1작은술,1500194
 130g,1500195
 100g,1500196
 약간,1500197
1조각,1500198
1g,1500199
1/5큰술,1500200
1/6컵,1500201
450g,1500202
1/9개,1500203
4/5큰술,1500204
8큰술,1500205
1/4캔,1500206
4/5컵,1500207
2/5큰술,1500208
4알,1500209
1/8개,1500210
2/3모,1500211
15뿌리,1500212
15ml,1500213
200ml,1500214
4kg,1500215
 10g,1500216
 1.5큰술,1500217
 0.5g,1500218
9개,1500219
80g,1500220
1/10큰술,1500221
4공기,1500222
2/5대,1500223
10알,1500224
1/2 큰술,1500225
7ml,1500226
480g,1500227
 100ml,1500228
 1.5kg,1500229
1인분 세팅 재료],1500230
1과½큰술,1500231
15장,1500232
3송이,1500233
3/5컵,1500234
5/6큰술,1500235
1/6통,1500236
25L,1500237
3줌,1500238
350g,1500239
270g,1500240
60ml,1500241
68g,1500242
665ml,1500243
 조금,1500244
280g,1500245
160g,1500246
2500ml,1500247
1타래,1500248
3/4큰술,1500249
6L,1500250
