data_source,ID,food_name,food_img,recipe_link,serving,category_high_level,category_mid_level,category_low_level,created_date,views,likes,reviews,comments,재료1,재료2,재료3,재료4,재료5,재료6,재료7,재료8,재료9,재료10,재료1_정량,재료2_정량,재료3_정량,재료4_정량,재료5_정량,재료6_정량,재료7_정량,재료8_정량,재료9_정량,재료10_정량,rating
youtube,2000230,분식집st 떡 볶 이🎉,https://i.ytimg.com/vi/t4Es8mwdYlE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBiSp3qJcHf3SowiPma1UQUyd9UhA,https://www.youtube.com/watch?v=t4Es8mwdYlE&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=231&pp=iAQB,,,,,2020-02-07,12931436,142158,0,5948,쌀떡,밀가루떡,사각어묵,양배추,대파,물,삶은달걀,고추장,,,4컵,4컵,4장,2컵,3컵,1L,3개,1/3컵,,,1.0
website,5000004,백종원 스팸짜글이 감자짜글이 고추장찌개 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2023/08/11/d247b0feb2058f2e0c8e6ec3819c5e4d1.jpg,https://www.10000recipe.com/recipe/7007905,4인분,,,,2023-08-11,541,0,0,0,고추장, 고춧가루, 된장, 버섯가루, 멸치가루, 새우가루, 다시마가루, 들깨가루, 맛술,,1큰술, 1큰술, 1큰술, 1작은술, 1작은술, 1작은술, 1작은술, 2큰술, 1큰술,,1.0
youtube,2000319,초간단 김치찌개 ㅣ 백종원의 백종원 레시피,https://i.ytimg.com/vi/DnQ09ZZCjCs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzqg5KitvS8Rhkh_aU6_DujnxOPQ,https://www.youtube.com/watch?v=DnQ09ZZCjCs&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=320&pp=iAQB,,,,,2019-06-12,11818402,147550,0,9103,,,,,,,,,,,,,,,,,,,,,0.9145477892374748
youtube,2000250,초대손님 '양세형'님께서 '감자짜글이'를 만들어 주셨습니다. ㅋㅋ 진짜 밥도둑. 잡았다 요놈 ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/wpUsg7f-F4o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXNPjVm3f5TioRQ2IZ4-XZ0CFdPw,https://www.youtube.com/watch?v=wpUsg7f-F4o&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=251&pp=iAQB,,,,,2019-12-23,11064213,137473,0,0,감자,양파,대파,청양고추,통조림햄,간마늘,된장,고추장,굵은고춧가루,황설탕,2개,1/2개,1컵,3개,1캔,1큰술,1/2큰술,1큰술,2큰술,1큰술,0.8547135940090989
youtube,2000140,성공률 100% 돼지고기 김치찌개,https://i.ytimg.com/vi/qWbHSOplcvY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCMgndjlSxvzfCYWc3MAz2NCg6I9w,https://www.youtube.com/watch?v=qWbHSOplcvY&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=141&pp=iAQB,,,,,2020-08-12,10492671,94540,0,2766,신김치,물,청양고추,대파 약,간 마늘,굵은 고춧가루,국간장,새우젓,,,3컵,3컵,2개,2/3대,1큰술,1큰술,1큰술,1큰술,,,0.8073867477960304
youtube,2000272,불맛 가득한 달걀볶음밥! 맛없으면 이상한 거죠~ ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/kR77WlHRZrs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAl4MD0GKJufwd417q_pD83dlY1qQ,https://www.youtube.com/watch?v=kR77WlHRZrs&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=273&pp=iAQB,,,,,2019-10-16,10453903,95018,0,4204,밥,대파,달걀,식용유,진간장,MSG,맛소금,,,,1공기,1/2컵,2개,4큰술,1/2큰술,1/4큰술,1g,,,,0.804535573566709
website,5000008,간단한 여름반찬 노각무침 레시피,https://recipe1.ezmember.co.kr/cache/recipe/2023/08/11/0d97d8ab403e9bd68e65403535e511fa1.jpg,https://www.10000recipe.com/recipe/7007901,2인분,,,,2023-08-11,423,0,0,0,소금, 물엿,,,,,,,,,1/2큰술, 1큰술,,,,,,,,,0.7713178294573644
youtube,2000268,"참 쉬운 김밥만들기, 김밥 A~Z까지~! ㅣ 백종원의 쿠킹로그",https://i.ytimg.com/vi/10fl2mebYHs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmH8De4pxOVCbbWwBZZMrSzs_qEA,https://www.youtube.com/watch?v=10fl2mebYHs&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=269&pp=iAQB,,,,,2019-11-04,9647654,84359,0,3019,김,김밥용 밥,시금치,달걀지단,게맛살,우엉조림,단무지,,,,1장,150g,2줄,1줄,1줄,1줄,1줄,,,,0.7412411613560206
youtube,2000158,김치전을 바삭바삭하게!,https://i.ytimg.com/vi/47OIcvpqxlo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBPg-nKqhlJYclo5w2xaly0EvIEhg,https://www.youtube.com/watch?v=47OIcvpqxlo&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=159&pp=iAQB,,,,,2020-07-06,9588354,116668,0,0,신김치 약,황설탕,물 1과,부침가루,청양고추,대파,소시지,고운고춧가루,,,2컵,1/2큰술,2/3컵,2컵,2개,2/5대,2개,1큰술,,,0.7389193405967149
youtube,2000255,"정말 시원한 멸치국수!! 육수, 양념장 고명에 뽀나스 메뉴는 비밀~ ㅣ 백종원의 쿠킹로그",https://i.ytimg.com/vi/FI6iypOkNUg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjfVN8ZIGz9NcXtgkBkO-YDRarOg,https://www.youtube.com/watch?v=FI6iypOkNUg&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=256&pp=iAQB,,,,,2019-12-12,8617107,83131,0,2227,디포리,육수용멸치 1과,절단다시마,물,양파,대파,맛술,국간장,,,2/3컵,1/2컵,5장,3L,1/2개,1대,1/2컵,3큰술,,,0.661353274119296
