category_type_level,category_situation_level,category_ingredient_level,category_method_level,id,food_name,category,음식1,음식2,음식3,음식4,음식5,음식6,음식7,음식8,음식9,음식10,음식1_id,음식2_id,음식3_id,음식4_id,음식5_id,음식6_id,음식7_id,음식8_id,음식9_id,음식10_id
밑반찬,일상,소고기,볶음,10000000,소고기볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,끓이기 | 밑반찬,일상,소고기,비빔 | 밑반찬,일상,소고기,삶기 | 밑반찬,일상,돼지고기,부침 | 밑반찬,일상,달걀/유제품,볶음 | 밑반찬,일상,콩/견과류,비빔 | 밑반찬,일상,콩/견과류,찜 | 밑반찬,일상,기타,회 | 밑반찬,초스피드,육류,찜 | 밑반찬,초스피드,육류,절임 | 밑반찬,초스피드,육류,기타 | 밑반찬,초스피드,쌀,비빔 | 밑반찬,손님접대,소고기,회 | 밑반찬,손님접대,달걀/유제품,회 | 밑반찬,손님접대,달걀/유제품,기타 | 밑반찬,손님접대,버섯류,데치기 | 밑반찬,술안주,건어물류,무침 | 밑반찬,술안주,건어물류,비빔 | 밑반찬,다이어트,콩/견과류,데치기 | 밑반찬,간식,채소류,튀김 | 밑반찬,간식,채소류,삶기 | 밑반찬,간식,밀가루,찜 | 밑반찬,야식,쌀,끓이기 | 밑반찬,푸드스타일링,버섯류,비빔 | 밑반찬,해장,쌀,회 | 밑반찬,기타,해물류,데치기 | 밑반찬,기타,건어물류,튀김 | 메인반찬,일상,밀가루,부침 | 메인반찬,일상,밀가루,조림 | 메인반찬,초스피드,돼지고기,삶기 | 메인반찬,초스피드,과일류,튀김 | 메인반찬,초스피드,과일류,삶기",김치볶음,어묵볶음,약고추장,감자볶음,소세지볶음,새우볶음,꽈리고추볶음,가지볶음,버섯볶음,볶음우동,10000012.0,10000676.0,10000008.0,10000053.0,10000531.0,10000539.0,10000014.0,10000386.0,10000058.0,10000068.0
밑반찬,일상,소고기,볶음,10000001,소고기고추장볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,튀김 | 밑반찬,일상,소고기,삶기 | 밑반찬,초스피드,육류,찜 | 밑반찬,영양식,돼지고기,부침 | 밑반찬,간식,채소류,튀김 | 밑반찬,간식,해물류,조림 | 밑반찬,푸드스타일링,버섯류,찜",소고기가지볶음,라면볶음,오이볶음,대패삼겹살볶음,양배추덮밥,불고기볶음,무나물,닭가슴살볶음밥,건새우볶음,해물볶음,10000003.0,10000085.0,10000052.0,10000209.0,10000782.0,10000022.0,10000019.0,10000455.0,10000942.0,10000975.0
밑반찬,일상,소고기,볶음,10000002,소고기오이볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,끓이기 | 밑반찬,간식,채소류,튀김",고구마순볶음,소고기가지덮밥,애호박새우젓볶음,양지볶음,살치살,돼지고기숙주볶음,깻잎볶음,차돌박이볶음된장,고추볶음,등심볶음,10000009.0,10000059.0,10000683.0,10000028.0,10000023.0,10000252.0,10000013.0,10000146.0,10000010.0,10000017.0
밑반찬,일상,소고기,볶음,10000003,소고기가지볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,끓이기 | 밑반찬,일상,소고기,찜 | 밑반찬,초스피드,육류,회 | 밑반찬,손님접대,버섯류,데치기 | 밑반찬,간식,채소류,삶기 | 메인반찬,일상,밀가루,부침",불고기볶음,소고기고추장볶음,소고기숙주볶음,닭고기볶음,꽈리고추멸치볶음,라면볶음,소고기오이볶음,에그스크램블,오이볶음,고구마순볶음,10000022.0,10000001.0,10000035.0,10000384.0,10000686.0,10000085.0,10000002.0,10001155.0,10000052.0,10000009.0
밑반찬,일상,소고기,볶음,10000004,고추장볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,튀김 | 밑반찬,일상,육류,삶기 | 밑반찬,일상,밀가루,끓이기 | 밑반찬,일상,과일류,조림 | 밑반찬,초스피드,닭고기,조림 | 밑반찬,초스피드,닭고기,데치기 | 밑반찬,초스피드,닭고기,회 | 밑반찬,초스피드,채소류,굽기 | 밑반찬,초스피드,쌀,비빔 | 밑반찬,초스피드,버섯류,기타 | 밑반찬,초스피드,기타,튀김",불닭볶음면,마늘쫑볶음,깍두기볶음밥,펜네파스타,묵은지볶음,당면볶음,감자채볶음,참치볶음밥,김치덮밥,베이컨숙주볶음,10000445.0,10000018.0,10000112.0,10000761.0,10000670.0,10000576.0,10000663.0,10000799.0,10000328.0,10000700.0
밑반찬,일상,소고기,볶음,10000005,표고버섯볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,콩/견과류,비빔 | 밑반찬,일상,콩/견과류,찜 | 밑반찬,초스피드,쌀,무침 | 밑반찬,손님접대,소고기,데치기 | 밑반찬,도시락,버섯류,끓이기 | 밑반찬,영양식,달걀/유제품,볶음 | 밑반찬,간식,채소류,삶기 | 밑반찬,간식,건어물류,굽기 | 밑반찬,야식,돼지고기,기타 | 메인반찬,초스피드,기타,볶음",부추볶음,오이볶음,느타리버섯볶음,김치덮밥,간짜장,낙지볶음,햄볶음,펜네파스타,새송이버섯볶음,감자채볶음,10001178.0,10000052.0,10000215.0,10000328.0,10000272.0,10000966.0,10001297.0,10000761.0,10000024.0,10000663.0
밑반찬,일상,소고기,볶음,10000006,볶음고추장,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,튀김 | 밑반찬,일상,소고기,삶기 | 밑반찬,일상,돼지고기,조림 | 밑반찬,일상,돼지고기,데치기 | 밑반찬,일상,돼지고기,회 | 밑반찬,일상,육류,볶음 | 밑반찬,일상,육류,삶기 | 밑반찬,일상,채소류,무침 | 밑반찬,일상,밀가루,끓이기 | 밑반찬,일상,과일류,굽기 | 밑반찬,초스피드,닭고기,데치기 | 밑반찬,손님접대,해물류,삶기 | 밑반찬,손님접대,콩/견과류,절임 | 밑반찬,영양식,달걀/유제품,끓이기 | 메인반찬,다이어트,채소류,볶음",애호박볶음,마늘쫑볶음,깍두기볶음밥,카레볶음밥,우동볶음,베이컨볶음,멸치볶음,당면볶음,명란파스타,파인애플볶음밥,10000025.0,10000018.0,10000112.0,10000318.0,10000077.0,10000699.0,10000936.0,10000576.0,10000810.0,10000124.0
밑반찬,일상,소고기,볶음,10000007,소보로,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,돼지고기,회 | 밑반찬,일상,채소류,끓이기 | 밑반찬,초스피드,해물류,끓이기 | 밑반찬,다이어트,곡류,절임 | 밑반찬,영양식,돼지고기,부침 | 밑반찬,영양식,쌀,회 | 밑반찬,간식,닭고기,튀김 | 밑반찬,기타,가공식품류,튀김 | 메인반찬,일상,밀가루,부침 | 밥/죽/떡,간식,소고기,비빔 | 양식,도시락,육류,회 | 스프,손님접대,버섯류,조림 | 스프,술안주,소고기,굽기 | 스프,간식,곡류,삶기 | 스프,푸드스타일링,곡류,튀김 | 스프,명절,버섯류,비빔 | 빵,다이어트,쌀,찜",소고기고추장볶음,소고기찹스테이크,새송이버섯볶음,오이볶음,고추장불고기,닭가슴살볶음밥,바싹불고기,오리불고기,소불고기덮밥,브런치,10000001.0,10000044.0,10000024.0,10000052.0,10000046.0,10000455.0,10000040.0,10000420.0,10000100.0,10000875.0
밑반찬,일상,소고기,볶음,10000008,약고추장,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,소고기,튀김 | 밑반찬,일상,소고기,삶기 | 밑반찬,일상,돼지고기,조림 | 밑반찬,일상,돼지고기,데치기 | 밑반찬,일상,돼지고기,회 | 밑반찬,일상,채소류,조림 | 밑반찬,일상,해물류,찜 | 밑반찬,일상,달걀/유제품,삶기 | 밑반찬,일상,밀가루,끓이기 | 밑반찬,일상,건어물류,무침 | 밑반찬,일상,과일류,굽기 | 밑반찬,일상,기타,부침 | 밑반찬,초스피드,소고기,비빔 | 밑반찬,초스피드,닭고기,데치기 | 밑반찬,초스피드,닭고기,회 | 밑반찬,초스피드,육류,찜 | 밑반찬,초스피드,채소류,볶음 | 밑반찬,초스피드,해물류,조림 | 밑반찬,초스피드,과일류,절임 | 밑반찬,영양식,닭고기,기타 | 밑반찬,간식,건어물류,볶음 | 밑반찬,간식,버섯류,조림 | 밑반찬,야식,가공식품류,비빔 | 메인반찬,술안주,돼지고기,데치기 | 메인반찬,술안주,달걀/유제품,삶기 | 찌개,푸드스타일링,달걀/유제품,삶기",김치볶음,꽈리고추볶음,소고기볶음,감자볶음,돼지고기볶음,어묵볶음,가지볶음,계란볶음밥,토마토스파게티,명란파스타,10000012.0,10000014.0,10000000.0,10000053.0,10000201.0,10000676.0,10000386.0,10000116.0,10000173.0,10000810.0
밑반찬,일상,소고기,볶음,10000009,고구마순볶음,"밑반찬,일상,소고기,볶음 | 밑반찬,일상,채소류,회 | 밑반찬,간식,밀가루,찜",소고기오이볶음,애호박새우젓볶음,머위대볶음,파프리카볶음밥,콩나물볶음밥,살치살,버섯야채볶음,양지볶음,고추볶음,등심볶음,10000002.0,10000683.0,10000224.0,10000790.0,10000778.0,10000023.0,10001817.0,10000028.0,10000010.0,10000017.0
