ingredient_name,ingredient_id
크림치즈,500000
단호박,500001
수박,500002
고추장,500003
데리야끼소스,500004
뇨끼,500005
다진마늘,500006
소금,500007
감자,500008
새우두부계란찜연두부75g,500009
조선부추50g,500010
방울토마토소박이:방울토마토150g,500011
오이무침:오이70g,500012
북엇국북어채25g,500013
황태해장국황태15g,500014
된장국두부20g,500015
멸치육수:국물용멸치5g,500016
치커리샐러드:치커리30g,500017
스트로베리샐러드딸기70g,500018
그린매쉬드포테이토:감자80g,500019
버섯구이:새송이버섯70g,500020
구운채소:가지20g,500021
브로콜리컬리플라워샐러드:브로콜리40g,500022
오렌지당근펀치당근100g,500023
주재료:소면160g,500024
주재료실곤약440g,500025
주재료만두피4g,500026
주재료:소면50g육수:함초3g,500027
두부320g,500028
다시마1g,500029
주재료:감자100g,500030
돌나물샐러드:돌나물90g,500031
주재료:배추70g,500032
주재료:대구살120g,500033
주재료:자색고구마10g,500034
주재료:애호박70g,500035
주재료:민들레잎40g,500036
주재료:가지100g,500037
돼지고기,500038
소고기,500039
닭고기,500040
호박잎,500041
황태채,500042
오리고기,500043
전복,500044
검은콩,500045
산마,500046
재료닭가슴살,500047
재료콩나물,500048
재료풋고추,500049
재료오징어,500050
•필수재료:주꾸미,500051
재료느타리버섯,500052
재료통조림햄,500053
•필수재료:통조림햄,500054
재료굴,500055
재료콩,500056
•필수재료:표고버섯,500057
재료토란,500058
홀토마토200g,500059
실곤약200g,500060
오징어300g,500061
배750g,500062
쇠고기등심240g,500063
오징어1마리,500064
소고기우둔살200g,500065
삼치200g,500066
삼겹살200g,500067
귀리밥100g,500068
감자220g,500069
단호박200g,500070
라이스버거:밥200g,500071
•필수재료:오이고추,500072
닭가슴살,500073
광어,500074
두부,500075
쌀,500076
닭고기살,500077
새우,500078
통삼겹살,500079
다진돼지고기,500080
삼치,500081
토마토,500082
또띠아,500083
통오징어,500084
모시조개,500085
연근,500086
콜라비,500087
표고버섯,500088
찬밥60g,500089
감자30g,500090
-주재료:민어50g,500091
재료양송이버섯,500092
재료현미,500093
재료피망,500094
재료콩고기,500095
재료수박껍질,500096
재료바나나,500097
재료신선초,500098
재료감자,500099
재료마늘,500100
재료양파,500101
재료새우,500102
재료라면,500103
주꾸미200g,500104
무50g,500105
조기1마리,500106
돼지머리200g,500107
밥150g,500108
연근200g,500109
코다리250g,500110
두부300g,500111
풋사과200g,500112
주꾸미80g,500113
참외200g,500114
연어60g,500115
콜라비200g,500116
코다리200g,500117
연두부,500118
애호박,500119
고구마,500120
백김치,500121
생선살,500122
삼겹살,500123
주꾸미,500124
미니버섯,500125
연어,500126
옥수수콘,500127
찹쌀가루,500128
콩나물,500129
포카치아빵,500130
오징어,500131
•필수재료:대하,500132
재료쌀,500133
볶음밥쌀,500134
재료칵테일새우,500135
재료닭봉,500136
재료봄동,500137
재료멥쌀,500138
재료파프리카,500139
재료당근,500140
재료오징어몸통,500141
주재료:양념족발200g,500142
갈은소고기150g,500143
3가지색소면,500144
통삼겹250g,500145
쌀150g,500146
파스타면50g,500147
찜갈비200g,500148
쌀100g,500149
전복100g,500150
쇠고기구이용150g,500151
도토리묵,500152
우엉20g,500153
미니단호박250g,500154
소채끝살200g,500155
식빵,500156
소시지,500157
소등심,500158
라이스페퍼,500159
밀가루,500160
다진소고기,500161
돼지등심,500162
스파게티,500163
닭봉,500164
보리쌀,500165
다진쇠고기,500166
재료배추,500167
재료표고버섯,500168
재료다진돼지고기,500169
재료두부,500170
재료돼지고기,500171
재료차돌박이,500172
•필수재료:오리고기,500173
재료양배추,500174
피시볼반죽검은콩,500175
재료대하,500176
찹쌀25g,500177
황태30g,500178
주꾸미50g,500179
냉동고등어300g,500180
볶은현미25g,500181
양파150g절임물:물200g,500182
관자100g,500183
•필수재료:실곤약,500184
닭가슴살100g,500185
두가지묵,500186
흰앙금100g,500187
장어250g,500188
단단한두부150g,500189
청국장가루20g,500190
증편200g,500191
양파,500192
가지,500193
•필수재료:다진소고기,500194
사과,500195
새송이버섯,500196
체리,500197
미숫가루,500198
망고퓨레,500199
줄기토마토,500200
홍시,500201
재료:닭고기,500202
현미,500203
달걀,500204
키위샐러드:키위60g,500205
돌나물,500206
건강그린샐러드:양상추40g,500207
케일샐러드보라로즈케일15g,500208
주재료:꼬막1000g,500209
주재료:가지150g,500210
주재료:마늘종60g,500211
재료곤약,500212
재료미나리,500213
재료고구마,500214
재료다시마,500215
재료대구,500216
재료쇠고기육수,500217
재료김치,500218
버섯볶음새송이버섯100g,500219
백일송이버섯볶음백일송이버섯65g,500220
•필수재료:가지,500221
곤약냉채:실곤약50g,500222
재료검은콩,500223
•필수재료:단호박,500224
재료가다랑어포,500225
재료숙주,500226
재료도토리묵,500227
재료우삼겹,500228
재료곤드레나물,500229
재료바지락,500230
재료새송이버섯,500231
냉스프두부120g,500232
호박고구마스프고구마70g,500233
밥180g,500234
주재료밥210g,500235
주재료:현미140g,500236
쌀밥420g,500237
주재료:두릅20g,500238
주재료:바나나100g,500239
주재료:딸기100g,500240
재료단호박,500241
재료애호박,500242
재료양상추,500243
재료검은깨,500244
두부100g,500245
멜론300g,500246
통삼겹200g,500247
곤약국수200g,500248
브로콜리60g,500249
달걀120g,500250
닭가슴살280g,500251
시금치150g,500252
두부구이:두부70g,500253
주재료:풋고추5g,500254
주재료:오이고추15g,500255
매실액10g,500256
주재료:무200g,500257
주재료:배추10g,500258
•필수재료:현미,500259
재료가지,500260
재료동태포,500261
스테이크재료두부,500262
재료꽁치살,500263
재료연근,500264
재료아귀,500265
쌀밥200g,500266
통삼겹200g조림장:맛간장30g,500267
메밀면80g,500268
전복200g,500269
백미150g,500270
검은콩두유50g,500271
영양부추20g,500272
닭육수200g,500273
닭가슴살250g,500274
•필수재료:방울토마토,500275
우유100g,500276
닭가슴살150g,500277
단호박50g,500278
가지250g,500279
등갈비,500280
실곤약,500281
황태,500282
양송이,500283
동치미,500284
흑임자,500285
바지락,500286
도라지,500287
•필수재료:가다랑어포,500288
곤약,500289
마,500290
고등어,500291
배추,500292
문어,500293
취나물,500294
참치,500295
새송이버섯30g,500296
얼갈이배추50g,500297
사과25g,500298
콜라비10g,500299
고구마90g,500300
얼린홍시70g,500301
오징어채소말이:오징어몸통80g,500302
감자70g,500303
쌀가루50g,500304
달걀50g,500305
꼬막60g,500306
물파래5g,500307
카스텔라100g,500308
방울토마토200g,500309
닭가슴살200g,500310
함초25g,500311
울금가루15g,500312
건조미역줄기10g,500313
고사리25g,500314
감자150g,500315
더덕50g,500316
청포묵,500317
양배추,500318
홍합,500319
귀리,500320
사골육수,500321
콩가루,500322
양상추,500323
머윗대,500324
아스파라거스,500325
-주재료:가지50g,500326
-주재료:토막낸닭170g,500327
-주재료:돼지고기목심70g,500328
-주재료:병어60g,500329
주재료:비름나물30g,500330
깻잎5g,500331
주재료:머위대70g,500332
수박속껍질50g,500333
오미자10g,500334
얼린포도알80g,500335
전복영양밥:쌀90g,500336
근대쌈밥:쌀70g,500337
장어150g,500338
•필수재료:삼치,500339
다진소고기40g,500340
훈제연어,500341
유부,500342
밥패티:찹쌀,500343
당근,500344
•필수재료:소불고기,500345
돼지갈비,500346
닭,500347
골뱅이,500348
관자,500349
쌀가루,500350
엿기름,500351
,500352
다슬기살20g,500353
부침가루30g,500354
밥100g,500355
쌀70g,500356
두부40g,500357
닭가슴살50g,500358
무청시래기불린것50g,500359
식빵40g,500360
꽃게70g,500361
•필수재료:우엉,500362
칵테일새우50g,500363
무,500364
떡볶이떡,500365
소고기등심,500366
닭다리살,500367
돼지목살,500368
버터,500369
L.A갈비,500370
마늘,500371
찹쌀,500372
브로콜리,500373
오렌지,500374
마감자전:감자40g,500375
토란50g,500376
갈치구이:갈치50g,500377
단호박70g,500378
고등어50g,500379
낙지70g,500380
돼지고기등심60g,500381
건도토리묵30g,500382
무40g,500383
조기70g,500384
표고버섯30g,500385
돼지고기사태60g,500386
연근배추샐러드:연근20g,500387
열무김치100g,500388
안심160g,500389
토마토홀50g,500390
가지1/2개,500391
쪽갈비400g,500392
알배추8장,500393
실곤약150g,500394
명란젓50g,500395
양송이100g,500396
연어150g,500397
닭날개100g,500398
카레가루45g,500399
완두콩10g,500400
쌈무10.5g,500401
통마늘10g,500402
•필수재료:브로콜리70g,500403
•필수재료:닭다리살,500404
버터40g,500405
오이,500406
방울토마토,500407
깻잎,500408
무말랭이10g,500409
•필수재료:양배추,500410
건미역4g,500411
•필수재료:바지락,500412
•필수재료:통배추,500413
•필수재료:감자,500414
김치,500415
참나물,500416
소고기14g,500417
•필수재료:락교,500418
쌀40g,500419
꽃게8.2g,500420
물300ml,500421
•필수재료:건미역,500422
닭고기100g,500423
냉동곤약,500424
토마토35g,500425
강력분300g,500426
콜리플라워,500427
홍시50g,500428
낙지50g,500429
코다리150g,500430
•필수재료:참나물,500431
어린잎채소,500432
방울토마토20g,500433
배400g,500434
가자미살40g,500435
"""배추17g",500436
크래비,500437
게살,500438
•필수재료:오징어,500439
•필수재료:콜라비,500440
오이30g,500441
건미역1.5g,500442
•필수재료:청경채,500443
부챗살,500444
묵은지,500445
•필수재료:명태포,500446
곤약100g,500447
배추20g,500448
쇠고기등심17.5g,500449
순무40g,500450
•필수재료:등갈비,500451
콜리플라워25g,500452
한돈,500453
배추10g,500454
•필수재료:느타리버섯,500455
닭가슴살60g,500456
닭고기가슴살100g[소스소개]밑간양념:요구르트6g,500457
돼지고기등심50g,500458
쇠고기등심38g,500459
돼지등심100g,500460
알감자80g,500461
쇠고기등심50g,500462
새우살30g,500463
돈민찌80g,500464
배30g,500465
참외20g,500466
팽이버섯,500467
돼지고기삼겹살40g,500468
쇠고기40g,500469
낙지20g,500470
도미100g,500471
새우13g,500472
고등어70g,500473
골뱅이25g,500474
굴20g,500475
쇠고기,500476
•필수재료:무,500477
삶은스파게티,500478
금태50g,500479
김10g,500480
꽁치60g,500481
꽃게120g,500482
두부60g,500483
멸치중간것10g,500484
연두부큰것25g,500485
콩비지20g,500486
훈재연어40g,500487
오징어80g,500488
갑오징어50g,500489
백새우40g,500490
흑임자30g,500491
돼지고기30g,500492
배80g,500493
•필수재료:떡볶이떡,500494
연두부50g,500495
젤라틴5g,500496
복숭아150g,500497
천도복숭아30g,500498
양파15,500499
고구마15g,500500
•필수재료:비름나물,500501
판곤약60g,500502
꽈리고추,500503
양파다진것10g,500504
좁쌀15g,500505
돼지고기목살30g,500506
멜론110g,500507
양파다진것3g,500508
시금치10g,500509
당근다진것10g,500510
불린쌀30g,500511
밥120g,500512
에멘탈치즈20g,500513
고구마35g,500514
우육,500515
단감60g,500516
삼계탕용닭,500517
유부10g,500518
펜넬파스타40g,500519
달걀30g,500520
감자10g,500521
멜론30g,500522
버터2g,500523
새우살40g,500524
고구마60g,500525
양파1cm정사각형14g,500526
단호박30g,500527
감자20g,500528
밀가루30g,500529
죽순5g,500530
유부8g,500531
찰어묵50g,500532
까망베르치즈8g,500533
앞다리살돈육,500534
오이80g,500535
건취나물,500536
돼지목살다진것50g,500537
홍시40g,500538
고구마50g,500539
두부30g,500540
치자2g,500541
밥70g,500542
오미자5g,500543
사과60g,500544
냉동홍시70g,500545
메밀가루20g,500546
잡곡밥흑미검은콩50g,500547
단호박작은것125g,500548
두부80g,500549
새우20g,500550
도미40g,500551
밀가루중력분80g,500552
•필수재료:닭정육,500553
돈등심80g,500554
오이10g,500555
•필수재료:양상추,500556
시금치70g,500557
쇠고기샄코기80g,500558
배추50g,500559
새우60g,500560
찹쌀30g,500561
오트밀15g,500562
양파10g,500563
달걀20g,500564
양파다진것15g,500565
메밀가루50g,500566
소고기40g,500567
감자50g,500568
•필수재료:닭고기,500569
두부70g,500570
오징어35g,500571
감귤20g,500572
손질된고등어,500573
칵테일새우,500574
상추,500575
쇠고기사태100g,500576
닭가슴살80g,500577
달걀35g,500578
밥40g,500579
다시마30g,500580
옥수수35g,500581
느타리버섯15g,500582
그린비타민8g,500583
두부35g,500584
더덕40g,500585
돼지고기살코기40g,500586
단호박40g,500587
도미살65g,500588
알배추50g,500589
누룽지5g,500590
고구마70g,500591
오렌지25g,500592
당근50g,500593
팥10g,500594
연근20g,500595
검은콩튀밥10g,500596
잣3g,500597
현미가루10g,500598
감자80g,500599
달걀물10g,500600
돼지갈비60g,500601
사과50g,500602
돼지등심60g,500603
바지락살20g,500604
찹쌀가루60g,500605
깐연근22.18g,500606
포항초20g,500607
대파,500608
조랭이떡140g,500609
문어50g,500610
과메기60g,500611
밥180,500612
굴50,500613
완자:콩비지50,500614
주재료:돼지등갈비200,500615
주재료:오징어30,500616
주재료:코다리50,500617
주재료:대구살60,500618
땅콩10,500619
맛살50g,500620
돼지고기다진것12g,500621
흰살생선70g,500622
쇠고기살코기40g,500623
쇠고기등심80g,500624
쌀30g,500625
또띠아25g,500626
쇠고기25g,500627
닭가슴살30g,500628
닭가슴살20g,500629
주재료:시금치,500630
불린미역,500631
호두15,500632
주재료:쌀90,500633
비빔밥:쌀밥210,500634
주재료:키조개관자60,500635
가자미50,500636
주재료:쇠고기등심60,500637
주재료:오리고기50g,500638
주재료:밀가루50,500639
주재료:민들레15,500640
참취70g,500641
주재료:토마토70,500642
주재료:풋마늘20,500643
절편35,500644
가지70g,500645
고등어35g,500646
다시마25g,500647
브로콜리70g,500648
새우35g,500649
상추/로메인60g,500650
연두부75g,500651
당근80g,500652
쇠고기30g,500653
팽이버섯70g,500654
딸기100g,500655
재료1인분봄동10g,500656
주재료:마30g,500657
재료:배추,500658
고구마20g,500659
마늘50g,500660
자몽30g,500661
찹쌀가루12g,500662
우유180g,500663
떡꼬치:쌀떡90g,500664
누룽지:밥210g,500665
반죽:찹쌀,500666
잡곡,500667
밥,500668
